"COD_UF","NOME_UF","COD_MUNICIPIO","ANO","COD_MESO","NOME_MESO","COD_MICRO","NOME_MICRO","NOME_MUNICIPIO","INDICADOR_329","DESVIOS_PIOR_INDICADOR_329","INDICADOR_62","DESVIOS_MELHOR_INDICADOR_62","INDICADOR_199","DESVIOS_MELHOR_INDICADOR_199","INDICADOR_200","DESVIOS_MELHOR_INDICADOR_200","INDICADOR_333","DESVIOS_MELHOR_INDICADOR_333","INDICADOR_181","DESVIOS_PIOR_INDICADOR_181","INDICADOR_182","DESVIOS_PIOR_INDICADOR_182","INDICADOR_188","DESVIOS_MELHOR_INDICADOR_188","INDICADOR_189","DESVIOS_MELHOR_INDICADOR_189","INDICADOR_289","DESVIOS_MELHOR_INDICADOR_289","INDICADOR_290","DESVIOS_PIOR_INDICADOR_290","INDICADOR_202","DESVIOS_PIOR_INDICADOR_202","INDICADOR_184","DESVIOS_PIOR_INDICADOR_184","INDICADOR_7","DESVIOS_NEUTRO_INDICADOR_7","INDICADOR_201","DESVIOS_MELHOR_INDICADOR_201"
25,"Paraíba",2500601,"2007",2504,"Mata Paraibana",250423,"Litoral Sul","Alhandra",NA,NA,54.4314599972,-2,3.2,1,2.6,-1,NA,NA,8.8,1,NA,NA,73.7,1,NA,NA,28.4768211921,-1,NA,NA,33.8888888889,1,26.7218543046,-2,2112.109856086,1,NA,NA
25,"Paraíba",2500601,"2008",2504,"Mata Paraibana",250423,"Litoral Sul","Alhandra",NA,NA,57.1416631621,-1,NA,NA,NA,NA,NA,NA,8.7,-1,NA,NA,70.2,-1,NA,NA,11.6022099448,-2,NA,NA,38.8888888889,1,21.8508287293,-2,2181.0696051148,1,NA,NA
25,"Paraíba",2500601,"2009",2504,"Mata Paraibana",250423,"Litoral Sul","Alhandra",NA,NA,62.1088340487,-2,3.1,-1,2.7,-1,NA,NA,5.9,1,NA,NA,75.8,-1,NA,NA,19.7740112994,-2,NA,NA,36.1111111111,1,21.6553672316,-2,2568.0597562529,1,0.610842,-2
25,"Paraíba",2500601,"2010",2504,"Mata Paraibana",250423,"Litoral Sul","Alhandra",28.7006669358237,1,64.8050317574,-1,NA,NA,NA,NA,90.5679986641462,-1,7.1,-1,NA,NA,75,-1,NA,NA,21.3114754098,-2,NA,NA,35.5555555556,1,20.5792349727,-1,2699.8190852641,1,NA,NA
25,"Paraíba",2500601,"2011",2504,"Mata Paraibana",250423,"Litoral Sul","Alhandra",NA,NA,59.1003925949,-2,3.1,-2,2.9,-1,NA,NA,5.5,1,NA,NA,80.7,-1,NA,NA,43.4285714286,-2,24.5714285714,-1,31.3888888889,1,17.9485714286,-1,3673.7145422759,2,0.439343,-2
25,"Paraíba",2500601,"2012",2504,"Mata Paraibana",250423,"Litoral Sul","Alhandra",NA,NA,60.47,-1,NA,NA,NA,NA,NA,NA,5.9,-1,NA,NA,79.5,-1,NA,NA,49.7297297297,-2,28.6486486486,-1,30.96590909,2,17.2216216216,-1,4167.81,2,NA,NA
25,"Paraíba",2500734,"2000",2502,"Borborema",250210,"Cariri Ocidental","Amparo",41.078842304439,-1,NA,NA,NA,NA,NA,NA,91.5327764190837,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"Paraíba",2500734,"2007",2502,"Borborema",250210,"Cariri Ocidental","Amparo",NA,NA,71.7805726669,1,NA,NA,2.9,1,NA,NA,9.3,1,NA,NA,78,1,NA,NA,0,-1,NA,NA,31.4814814815,2,11.5869565217,2,3568.2777467211,3,NA,NA
25,"Paraíba",2500734,"2008",2502,"Borborema",250210,"Cariri Ocidental","Amparo",NA,NA,69.978738855,1,NA,NA,NA,NA,NA,NA,2,2,NA,NA,84.6,2,NA,NA,7.6923076923,-2,NA,NA,36.1111111111,1,11.7692307692,2,3894.9620148199,3,NA,NA
25,"Paraíba",2500734,"2009",2502,"Borborema",250210,"Cariri Ocidental","Amparo",NA,NA,60.9937854382,-2,NA,NA,3.1,1,NA,NA,5.7,1,NA,NA,80.6,1,NA,NA,11.7647058824,-2,NA,NA,34.4444444444,1,8.9215686275,3,3424.534047567,2,0.745066,1
