"REGIAO","ANO","INDICADOR_329","INDICADOR_62","INDICADOR_199","INDICADOR_200","INDICADOR_333","INDICADOR_181","INDICADOR_182","INDICADOR_188","INDICADOR_189","INDICADOR_289","INDICADOR_290","INDICADOR_202","INDICADOR_184","INDICADOR_7","INDICADOR_201"
"Itaporanga",2008,NA,66.1810719163,NA,NA,NA,8.1,13.35,78.9,76.05,42.3913043478,NA,43.9655172414,15.404040404,2323.5995660877,NA
"Itaporanga",2009,NA,69.95839379,3.4,3,NA,10.6,8.1,74.4,91.2,42.6470588235,NA,42.7083333333,16.2619047619,2293.1337516164,0.699349
"Itaporanga",2010,34.9600992352115,68.5883822619,NA,NA,89.2645610829698,8.4,19.1,81.4,80.9,40.4411764706,NA,42.2222222222,15.7058823529,2745.9630799881,NA
"Itaporanga",2011,NA,71.0553246854,3.7,2.8,NA,8.2,5,83.9,95,46.3414634146,26.0869565217,38.5620915033,15.380952381,2750.5494122846,0.5515615
"João Pessoa",2000,25.5398615059572,NA,NA,NA,81.8646806731644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"João Pessoa",2007,NA,69.83933852345,3.25,2.95,NA,8.55,27.75,73.5,51.1,65.6120867769,NA,29.99814195465,24.50845816115,1477.6780372553,NA
"João Pessoa",2008,NA,73.3252023988,NA,NA,NA,8.7,57.7,74.9,37.9,69.55210547655,NA,31.15942028985,21.82098070425,1896.14285488995,NA
"João Pessoa",2009,NA,73.7573031933,3.7,3.15,NA,8.45,50.5,75.85,42.7,66.90897009965,NA,28.5548941799,20.48623011015,2116.8586202212,0.879885
"João Pessoa",2010,19.0589251991452,76.8425346234,NA,NA,91.9551601437749,6.25,40.4,77.85,55.6,63.34930275225,NA,26.68253968255,18.19776310835,2613.3364631103,NA
"João Pessoa",2011,NA,74.09959946405,4.05,3.3,NA,4.05,42.6,83,56.2,70.0140492155,40.24197894535,25.06481481485,17.27031661965,2941.17479674445,0.6751585
"Litoral Norte",2000,50.9779070847587,NA,NA,NA,82.044304837533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Litoral Norte",2007,NA,76.3887234335,2.9,2.7,NA,9.7,14.6,69.6,82.05,68.9189189189,NA,34.375,21.3378378378,1486.6645014195,NA
"Litoral Norte",2008,NA,70.1436864477,NA,NA,NA,10.8,6,71.4,94,70.5128205128,NA,38.8888888889,20.2136752137,1675.7340943385,NA
"Litoral Norte",2009,NA,75.4135377129,3.2,2.9,NA,9.1,16.1,71,80.75,70.8333333333,NA,36.6666666667,21.6973684211,1942.64769671,0.72001
"Litoral Norte",2010,35.4063466517779,74.2635139551,NA,NA,92.9759162534674,8.5,25.7,74.7,63.8,72.0588235294,NA,35.2657004831,22.0789473684,2185.4824330456,NA
"Litoral Norte",2011,NA,72.8008661482,3.5,2.9,NA,6.6,28.2,77.6,65.6,79.6116504854,4.6052631579,31.8930041152,21.1194029851,2463.820993542,0.567536
"Litoral Sul",2000,37.6139847103453,NA,NA,NA,80.4008492529371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Litoral Sul",2007,NA,62.70220160775,2.9,2.5,NA,12.3,22.2,67.8,72.5,51.71480144405,NA,32.6851851852,23.97603041165,1691.18249752385,NA
"Litoral Sul",2008,NA,66.01037260885,NA,NA,NA,9.35,14.9,71.5,83.6,56.7715458276,NA,35.0529100529,22.38739155095,1878.364949933,NA
"Litoral Sul",2009,NA,67.7905847283,3.15,2.9,NA,7.15,NA,74.15,NA,56.1411078238,NA,34.30691721135,21.4075652726,1929.78868239875,0.792765
"Litoral Sul",2010,28.4347563724654,67.3916641774,NA,NA,92.1780101007515,6.65,NA,74.85,NA,58.82034632035,NA,33.3912037037,19.9592603435,2158.6334284596,NA
"Litoral Sul",2011,NA,67.71349558965,3.4,2.9,NA,4.55,0,81,94,68.9909345082,21.35978835975,30.0173611111,20.15765765765,2358.72459235005,0.6553655
"Patos",2000,36.3214586783528,NA,NA,NA,81.8575558505451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Patos",2007,NA,57.8509349183,2.9,2.7,NA,7.4,9.2,75.2,90.8,51.0204081633,NA,37.037037037,15.696969697,2303.3352675235,NA
"Patos",2008,NA,56.4900165068,NA,NA,NA,6.8,7,76.3,88,50,NA,41.6666666667,15.2708333333,2498.8778182747,NA
"Patos",2009,NA,64.9398142236,3.6,3.1,NA,5,NA,83,NA,46.6666666667,NA,41.5032679739,14,2613.454892252,0.6578375
"Patos",2010,29.2221187509535,63.3148445382,NA,NA,92.5773760182756,4,NA,83.9,NA,46.8085106383,NA,40.7407407407,14.6382978723,2722.7145730081,NA
"Patos",2011,NA,63.9997107664,3.9,3,NA,3.4,8.6,84.6,91.4,65.306122449,9.0909090909,35.7638888889,13.2049861496,3258.0729819277,0.576167
"Piancó",2000,41.497209886517,NA,NA,NA,81.3120455240185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Piancó",2007,NA,67.4369967309,3.05,2.9,NA,9.5,14.5,77,82.5,51.1627906977,NA,39.1534391534,15.9,1875.4592312166,NA
"Piancó",2008,NA,65.8785650113,NA,NA,NA,9.9,6,75,94,26.4227642276,NA,42.1455938697,14.9245283019,2033.5599558152,NA
"Piancó",2009,NA,69.1196544249,3.5,3,NA,9.6,17.3,78.8,81.25,28.5123966942,NA,42.4603174603,15.2765957447,2005.9619053385,0.7038835
"Piancó",2010,34.6045508900828,73.4689077534,NA,NA,91.5044371049329,8.5,30.1,77.5,69.9,41.3793103448,NA,39.5061728395,14.2317073171,2493.4833996011,NA
"Piancó",2011,NA,69.8168088147,3.3,3.1,NA,7.6,37.55,78.7,60.9,45.7446808511,14.2259414226,32.5396825397,13.6136363636,2679.4400625,0.520652
"Sapé",2000,47.6074190932981,NA,NA,NA,78.9749605294522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sapé",2007,NA,66.9082078267,3,2.6,NA,11,15.9,71.1,80.05,58.1395348837,NA,34.7222222222,22.6162790698,1464.6781354191,NA
"Sapé",2008,NA,61.0660649648,NA,NA,NA,8.1,19,70.6,66.4,45.6140350877,NA,36.8055555556,21.1929824561,1707.8414927563,NA
"Sapé",2009,NA,72.199312636,3.3,2.9,NA,6.7,NA,73.6,NA,53.5353535354,NA,35.6481481481,20.3392857143,1953.6311541382,0.73511
"Sapé",2010,36.8267042231757,66.8969006554,NA,NA,92.0543587535823,6.4,NA,74.9,NA,54.9689440994,NA,34.7222222222,19.1607142857,2031.6021310603,NA
"Sapé",2011,NA,70.3951935821,3.6,2.85,NA,7.1,NA,77.4,NA,71.978021978,8.3333333333,31.8518518519,18.4270833333,2446.9216253777,0.596116
"Seridó Ocidental Paraibano",2000,30.7941646723958,NA,NA,NA,87.6065557340592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seridó Ocidental Paraibano",2007,NA,67.34308761235,3.25,2.8,NA,5.35,11.6,78.55,76.5,61.31914893615,NA,33.3333333333,16.8141025641,2260.9950732521,NA
"Seridó Ocidental Paraibano",2008,NA,64.90855358775,NA,NA,NA,4.45,8.75,83.15,85.15,55.15370705245,NA,38.05555555555,14.24285714285,2451.2369244396,NA
"Seridó Ocidental Paraibano",2009,NA,76.95000122115,3.9,3.25,NA,3.15,6.2,84.3,84.8,55.15601217655,NA,37.35754985755,15.35134763475,2389.3040496173,0.6763585
"Seridó Ocidental Paraibano",2010,24.2260723005118,71.3039719283,NA,NA,92.8426536175795,4.7,7.45,84.1,89.2,65.2711323764,NA,36.21794871795,14.80332167835,2634.62603897215,NA
"Seridó Ocidental Paraibano",2011,NA,75.5619956493,4.3,3.1,NA,3.8,11,86.5,75.15,78.76602564105,17.3380398671,34.7222222222,14.7170542636,2834.21023282845,0.5652375
"Seridó Oriental Paraibano",2000,35.7076216073566,NA,NA,NA,81.8089810951873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seridó Oriental Paraibano",2007,NA,65.8401002265,3.4,2.6,NA,13.5,28,65.7,72,52.2875816993,NA,36.1111111111,19,1715.5933249583,NA
