"cidade","Vizinho1","Vizinho2","Vizinho3","Vizinho4","Vizinho5","Vizinho6","Vizinho7","Vizinho8","Vizinho9","Vizinho10","V12"
"Caraúbas",0.0305,0.0469,0.0723,0.0743,0.0926,0.0969,0.1094,0.1368,0.1783,0.1966,0.1035
"Capim",0.0672,0.0694,0.0792,0.0825,0.0895,0.0901,0.104,0.1434,0.1546,0.1565,0.1036
"Serraria",0.0275,0.0306,0.0863,0.1055,0.1094,0.1094,0.1161,0.1263,0.1567,0.1689,0.1037
"Damião",0.0424,0.0695,0.0815,0.0918,0.1108,0.1203,0.1212,0.1214,0.1339,0.1476,0.104
"Água Branca",0.0557,0.0731,0.0742,0.0753,0.0901,0.1028,0.1352,0.1439,0.1501,0.1566,0.1057
"Barra de São Miguel",0.0447,0.0752,0.0907,0.105,0.1116,0.1195,0.124,0.1244,0.129,0.1406,0.1065
"Cabaceiras",0.0305,0.0464,0.0806,0.1206,0.1214,0.1242,0.125,0.135,0.1377,0.1454,0.1067
"Lagoa",0.0646,0.0676,0.0868,0.0887,0.1168,0.1244,0.1245,0.1299,0.1304,0.1339,0.1068
"Puxinanã",0.028,0.0557,0.0895,0.0918,0.1071,0.1101,0.1412,0.1464,0.1483,0.1587,0.1077
"Santa Helena",0.0305,0.057,0.0716,0.0966,0.1108,0.1226,0.1259,0.1474,0.1512,0.1632,0.1077
"Mãe d'Água",0.0589,0.0772,0.0787,0.0938,0.1045,0.1109,0.1188,0.1414,0.1475,0.153,0.1085
"Matinhas",0.0488,0.0761,0.0877,0.1002,0.102,0.1214,0.1311,0.1394,0.143,0.1441,0.1094
"São José da Lagoa Tapada",0.0584,0.0934,0.0965,0.0972,0.1059,0.1128,0.1206,0.1249,0.1441,0.1458,0.11
"Curral Velho",0.0271,0.083,0.0841,0.1145,0.1206,0.1215,0.1238,0.1325,0.143,0.1529,0.1103
"Massaranduba",0.043,0.0621,0.0731,0.1036,0.1071,0.116,0.1272,0.14,0.1631,0.1677,0.1103
"Salgadinho",0.0539,0.0646,0.0911,0.0914,0.0976,0.1108,0.1242,0.1518,0.1584,0.1587,0.1103
"Santo André",0.0384,0.0472,0.0679,0.1146,0.1267,0.1289,0.13,0.1372,0.1555,0.1601,0.1107
"São José de Espinharas",0.0602,0.0668,0.067,0.0862,0.1051,0.1305,0.1339,0.1443,0.1551,0.1604,0.1109
"Juripiranga",0.028,0.0742,0.104,0.1122,0.1152,0.116,0.134,0.1359,0.1417,0.152,0.1113
"Amparo",0.0488,0.0619,0.0717,0.1045,0.1164,0.1287,0.1297,0.145,0.1504,0.1601,0.1117
"Jericó",0.0579,0.0814,0.0987,0.1151,0.1177,0.119,0.1273,0.1323,0.134,0.1361,0.1119
"Prata",0.0495,0.0602,0.0922,0.1036,0.1041,0.1142,0.145,0.1464,0.1483,0.1592,0.1123
"Vieirópolis",0.0468,0.0728,0.0855,0.0938,0.1059,0.1235,0.1336,0.1443,0.1522,0.1647,0.1123
"Desterro",0.0424,0.0548,0.0798,0.0906,0.1213,0.1439,0.1443,0.1455,0.1474,0.1579,0.1128
"Riachão do Bacamarte",0.0275,0.05,0.0823,0.086,0.1133,0.1353,0.1368,0.1525,0.1705,0.1763,0.1131
"Cacimba de Areia",0.0679,0.0915,0.0949,0.1006,0.1133,0.1145,0.1297,0.1361,0.1404,0.1466,0.1136
"Pilar",0.0672,0.0886,0.0898,0.0918,0.1011,0.1028,0.1152,0.1474,0.1651,0.1677,0.1137
"São João do Tigre",0.0468,0.0787,0.0893,0.1056,0.1124,0.1251,0.1304,0.1461,0.1481,0.1607,0.1143
"Cuité de Mamanguape",0.043,0.0753,0.0831,0.1101,0.1122,0.1248,0.1417,0.146,0.1565,0.1595,0.1152
"São José dos Cordeiros",0.0697,0.0873,0.0889,0.0926,0.1041,0.1161,0.1353,0.1384,0.1657,0.1724,0.1171
"Cuitegi",0.0671,0.0772,0.1056,0.1142,0.118,0.134,0.1342,0.1348,0.1443,0.1482,0.1178
"São José do Brejo do Cruz",0.0495,0.0624,0.1048,0.1051,0.108,0.1288,0.1365,0.1495,0.1585,0.1748,0.1178
"Riachão do Poço",0.0456,0.0469,0.1086,0.1126,0.1245,0.1263,0.1384,0.1523,0.1525,0.1739,0.1181
"Congo",0.0258,0.0639,0.0855,0.1027,0.1251,0.1272,0.1358,0.171,0.1743,0.1773,0.1189
"Areia de Baraúnas",0.0457,0.0624,0.0775,0.1017,0.1036,0.135,0.1604,0.1632,0.1652,0.176,0.1191
"Serra da Raiz",0.0195,0.0697,0.0723,0.1,0.1125,0.1126,0.1331,0.1567,0.1817,0.235,0.1193
"Passagem",0.0271,0.0753,0.0993,0.1151,0.1422,0.1441,0.1441,0.148,0.1486,0.1529,0.1197
"Alcantil",0.0783,0.0804,0.0862,0.1176,0.1327,0.1335,0.1358,0.145,0.1455,0.1574,0.1213
"Ouro Velho",0.0384,0.0433,0.1006,0.1255,0.1398,0.1486,0.1495,0.1529,0.1546,0.1683,0.1222
"Aparecida",0.0642,0.0649,0.09,0.0919,0.1059,0.1286,0.154,0.1567,0.1835,0.1879,0.1227
"São José de Princesa",0.0195,0.0743,0.0889,0.104,0.1044,0.1086,0.1471,0.1689,0.1948,0.2241,0.1235
"Boa Vista",0.057,0.0806,0.0934,0.0947,0.1219,0.1476,0.1579,0.1592,0.1596,0.1652,0.1237
"Riacho de Santo Antônio",0.0384,0.0775,0.1017,0.1177,0.125,0.1365,0.1503,0.1512,0.1711,0.1747,0.1244
"Maturéia",0.0791,0.0934,0.0966,0.1212,0.1242,0.1354,0.1381,0.1439,0.1597,0.161,0.1253
"Salgado de São Félix",0.0489,0.0621,0.0831,0.1066,0.1352,0.1399,0.1638,0.1684,0.1727,0.1764,0.1257
"Cachoeira dos Índios",0.0656,0.0675,0.1238,0.1261,0.1354,0.1409,0.1455,0.1484,0.1532,0.1545,0.1261
"Olho d'Água",0.0853,0.086,0.1005,0.1094,0.1304,0.1354,0.1392,0.1484,0.1587,0.1698,0.1263
"Pilões",0.0675,0.0906,0.105,0.1063,0.1162,0.1236,0.1423,0.1687,0.1709,0.1779,0.1269
"São João do Cariri",0.0384,0.0457,0.108,0.1182,0.1365,0.1377,0.1464,0.1653,0.1797,0.1926,0.1269
"São José do Bonfim",0.0258,0.0716,0.1028,0.1059,0.1075,0.1327,0.1481,0.1861,0.1942,0.1967,0.1271
"Condado",0.0639,0.0716,0.0783,0.1336,0.1493,0.1551,0.1582,0.1607,0.1619,0.162,0.1295
"Sobrado",0.0752,0.0791,0.0947,0.0995,0.1226,0.1358,0.1454,0.1778,0.1881,0.1911,0.1309
"Juarez Távora",0.0825,0.0945,0.098,0.1011,0.1342,0.1439,0.1486,0.1623,0.1725,0.1746,0.1312
"Riachão",0.0823,0.1005,0.1055,0.1108,0.1118,0.1299,0.1616,0.1707,0.1724,0.1894,0.1335
"Poço Dantas",0.0656,0.0853,0.1157,0.1236,0.1245,0.1284,0.1705,0.1707,0.1717,0.1798,0.1336
"Pirpirituba",0.0843,0.0893,0.1062,0.1235,0.1342,0.1479,0.1514,0.153,0.171,0.1758,0.1337
"Carrapateira",0.0728,0.1027,0.1075,0.1109,0.1124,0.1457,0.1632,0.1657,0.1766,0.183,0.134
"Mato Grosso",0.0753,0.0761,0.0841,0.1045,0.1504,0.162,0.1659,0.1672,0.1713,0.1854,0.1342
"São Francisco",0.0874,0.1017,0.105,0.1178,0.1365,0.1539,0.1592,0.1657,0.176,0.1762,0.1379
"Serra Branca",0.0548,0.0918,0.1187,0.1218,0.1366,0.1597,0.1702,0.1725,0.1783,0.1832,0.1388
"Juru",0.0649,0.075,0.0969,0.1193,0.1206,0.1568,0.1615,0.1926,0.2009,0.2088,0.1397
"Poço de José de Moura",0.0667,0.0843,0.1412,0.1432,0.1461,0.1493,0.1506,0.1647,0.1743,0.1772,0.1398
"Uiraúna",0.0998,0.1182,0.1222,0.1251,0.1313,0.1392,0.1412,0.1561,0.1839,0.1919,0.1409
"Montadas",0.0451,0.105,0.1358,0.1532,0.1549,0.1562,0.1572,0.1579,0.1848,0.1888,0.1439
"Alagoinha",0.0474,0.1117,0.1373,0.1392,0.1461,0.1546,0.1619,0.1658,0.1855,0.1908,0.144
"Zabelê",0.0915,0.1286,0.1289,0.137,0.1398,0.1587,0.1591,0.1636,0.1639,0.1736,0.1445
"Tavares",0.0489,0.1036,0.1248,0.1317,0.1333,0.1341,0.1748,0.1811,0.2084,0.2142,0.1455
"Cubati",0.1197,0.1213,0.1218,0.1335,0.1381,0.1506,0.1565,0.1619,0.1758,0.1839,0.1463
"Caiçara",0.0667,0.1062,0.1182,0.1266,0.1651,0.1658,0.171,0.1764,0.1792,0.1891,0.1464
"Gurinhém",0.1062,0.1066,0.1147,0.1333,0.14,0.146,0.1607,0.1885,0.1903,0.197,0.1483
"Soledade",0.0474,0.1177,0.1247,0.1372,0.1476,0.1496,0.1561,0.1764,0.2114,0.2158,0.1484
