"COD_UF","NOME_UF","COD_MUNICIPIO","ANO","COD_MESO","NOME_MESO","COD_MICRO","NOME_MICRO","NOME_MUNICIPIO","INDICADOR_24","x","y","area"
25,"Paraíba",2507804,2011,2502,"Borborema",250208,"Seridó Ocidental Paraibano","Junco do Seridó",1949818.11,-34.8696823324857,-7.16541481338102,0.0173787261828872
25,"Paraíba",2507903,2011,2504,"Mata Paraibana",250421,"Sapé","Juripiranga",3293035.24,-35.5644048091173,-7.16262396379236,0.00676711244294901
25,"Paraíba",2508000,2011,2501,"Sertão Paraibano",250107,"Serra do Teixeira","Juru",2646920.15,-36.557670992001,-7.05745910637389,0.038241251806027
25,"Paraíba",2508109,2011,2501,"Sertão Paraibano",250101,"Catolé do Rocha","Lagoa",1888667.11,-36.7763280628473,-6.99076369297731,0.0139044431372304
25,"Paraíba",2508307,2011,2503,"Agreste Paraibano",250317,"Campina Grande","Lagoa Seca",7694402.43,-35.2146794323429,-7.35483480776944,0.00649249407277771
25,"Paraíba",2508208,2011,2503,"Agreste Paraibano",250316,"Guarabira","Lagoa de Dentro",4329273.38,-37.8028866550108,-7.50068661593572,0.0330160631688986
25,"Paraíba",2508406,2011,2501,"Sertão Paraibano",250103,"Sousa","Lastro",1430549.79,-37.8871751169947,-6.58868345816248,0.0145156601676816
25,"Paraíba",2508505,2011,2502,"Borborema",250210,"Cariri Ocidental","Livramento",2273573.21,-35.3620136963042,-6.6790080173002,0.00684993372135513
25,"Paraíba",2508554,2011,2503,"Agreste Paraibano",250316,"Guarabira","Logradouro",1514776.82,-35.8676376169608,-7.14553697418034,0.00894927614594944
25,"Paraíba",2508604,2011,2504,"Mata Paraibana",250422,"João Pessoa","Lucena",4746240.24,-38.1781566007809,-6.55112007501725,0.0083436064291309
25,"Paraíba",2508802,2011,2501,"Sertão Paraibano",250103,"Sousa","Malta",1766742.53,-36.9317160511333,-7.34006190648887,0.0213523977207561
25,"Paraíba",2508901,2011,2504,"Mata Paraibana",250420,"Litoral Norte","Mamanguape",12759361.79,-35.4289063938975,-6.55246918856003,0.00304430475476867
25,"Paraíba",2509008,2011,2501,"Sertão Paraibano",250107,"Serra do Teixeira","Manaíra",3350080.97,-34.9094166428141,-6.91927698362523,0.0072999875356114
25,"Paraíba",2509057,2011,2504,"Mata Paraibana",250420,"Litoral Norte","Marcação",4585733.01,-37.4389243735707,-7.24768884397544,0.0198643608742083
25,"Paraíba",2509107,2011,2504,"Mata Paraibana",250421,"Sapé","Mari",6083142.95,-37.5255136332918,-6.88282111304532,0.0128146200504916
25,"Paraíba",2509156,2011,2501,"Sertão Paraibano",250103,"Sousa","Marizópolis",2920335.47,-35.1566969517361,-6.72026041245795,0.0278560682821357
25,"Paraíba",2509206,2011,2503,"Agreste Paraibano",250317,"Campina Grande","Massaranduba",3648424.66,-38.2056684921662,-7.72533612998021,0.0288638944627679
25,"Paraíba",2509305,2011,2504,"Mata Paraibana",250420,"Litoral Norte","Mataraca",4076833.99,-35.0058860760454,-6.74748618295585,0.0100055081128282
25,"Paraíba",2509339,2011,2503,"Agreste Paraibano",250315,"Brejo Paraibano","Matinhas",1374732.13,-35.3063498726446,-7.03848631960317,0.0126755714692925
25,"Paraíba",2509370,2011,2501,"Sertão Paraibano",250101,"Catolé do Rocha","Mato Grosso",1277833.21,-38.3350584962749,-6.82127193045369,0.00522544764162771
25,"Paraíba",2509396,2011,2501,"Sertão Paraibano",250107,"Serra do Teixeira","Maturéia",2630988.43,-35.7567820434334,-7.20167940688288,0.0168884228381445
25,"Paraíba",2509404,2011,2503,"Agreste Paraibano",250318,"Itabaiana","Mogeiro",3750152.98,-35.0448478794359,-6.5561351352425,0.0149294657295027
25,"Paraíba",2509503,2011,2503,"Agreste Paraibano",250314,"Esperança","Montadas",1959969.82,-35.7714349371253,-7.11845866126952,0.00314690717820728
25,"Paraíba",2509602,2011,2501,"Sertão Paraibano",250102,"Cajazeiras","Monte Horebe",1429573.18,-37.736528908873,-6.54733225787903,0.0068420316483988
25,"Paraíba",2509701,2011,2502,"Borborema",250210,"Cariri Ocidental","Monteiro",6968234.26,-37.3589248101991,-7.28442699875796,0.00685302492033727
25,"Paraíba",2509800,2011,2503,"Agreste Paraibano",250316,"Guarabira","Mulungu",3714281.29,-35.4911688734544,-7.29113676760185,0.0179508825932812
25,"Paraíba",2508703,2011,2501,"Sertão Paraibano",250104,"Patos","Mãe d'Água",1424421.77,-35.9458266375733,-7.09132397190856,0.00209037091602
25,"Paraíba",2509909,2011,2503,"Agreste Paraibano",250319,"Umbuzeiro","Natuba",3733166.05,-38.5375293680506,-7.20660743537448,0.00950606228975791
25,"Paraíba",2510006,2011,2501,"Sertão Paraibano",250103,"Sousa","Nazarezinho",2690704.14,-37.0926506767239,-7.90781759546202,0.0808814509288728
25,"Paraíba",2510105,2011,2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Nova Floresta",2985201.14,-35.4244708262069,-6.99923032994979,0.016008556737382
25,"Paraíba",2510204,2011,2501,"Sertão Paraibano",250105,"Piancó","Nova Olinda",2274697.22,-35.5666222037417,-7.56722933960185,0.0158789991687153
25,"Paraíba",2510303,2011,2502,"Borborema",250209,"Seridó Oriental Paraibano","Nova Palmeira",1377243.66,-38.3276607326138,-6.945713188102,0.0141486213559261
25,"Paraíba",2510402,2011,2501,"Sertão Paraibano",250105,"Piancó","Olho d'Água",2533844.03,-36.2062832584115,-6.47639707279601,0.00385775432833757
25,"Paraíba",2510501,2011,2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Olivedos",1941445.09,-38.0156599392835,-7.47689833202372,0.00684849348896487
25,"Paraíba",2510600,2011,2502,"Borborema",250210,"Cariri Ocidental","Ouro Velho",1157616.71,-36.4274239647957,-6.67590612949645,0.0254558291435491
25,"Paraíba",2510659,2011,2502,"Borborema",250210,"Cariri Ocidental","Parari",827641.17,-37.7585797341635,-7.28401012991215,0.0488788998469775
25,"Paraíba",2510709,2011,2501,"Sertão Paraibano",250104,"Patos","Passagem",1339059.34,-36.2517606862263,-6.97909484542395,0.0260700155027057
25,"Paraíba",2510808,2011,2501,"Sertão Paraibano",250104,"Patos","Patos",21137032.96,-37.1372755227619,-7.6095143441609,0.0106228966239142
25,"Paraíba",2510907,2011,2501,"Sertão Paraibano",250103,"Sousa","Paulista",2668033.93,-36.6697167642479,-7.3252676400538,0.0104645830727907
25,"Paraíba",2511004,2011,2501,"Sertão Paraibano",250106,"Itaporanga","Pedra Branca",1767845.17,-37.0432493287791,-7.11482588354618,0.00920038020480465
25,"Paraíba",2511103,2011,2502,"Borborema",250209,"Seridó Oriental Paraibano","Pedra Lavrada",3848103.59,-37.3182804994365,-6.99499434127481,0.0387253896431478
25,"Paraíba",2511202,2011,2504,"Mata Paraibana",250423,"Litoral Sul","Pedras de Fogo",11313533.66,-37.6092057745122,-6.62659721168228,0.0471020555673657
25,"Paraíba",2512721,2011,2504,"Mata Paraibana",250420,"Litoral Norte","Pedro Régis",2859161.97,-38.0799419438713,-7.46048168467166,0.00924024545678776
25,"Paraíba",2511301,2011,2501,"Sertão Paraibano",250105,"Piancó","Piancó",4474981.5,-36.3868549637501,-6.77515280667226,0.0287170290933658
25,"Paraíba",2511400,2011,2502,"Borborema",250209,"Seridó Oriental Paraibano","Picuí",6339799.94,-35.0744798294731,-7.3377658535074,0.0326737519289032
25,"Paraíba",2511509,2011,2504,"Mata Paraibana",250421,"Sapé","Pilar",3243413.56,-37.9465969092744,-7.20099345802908,0.0461943896536765
25,"Paraíba",2511608,2011,2503,"Agreste Paraibano",250315,"Brejo Paraibano","Pilões",2825128.22,-36.3367489148719,-6.49340224077293,0.0540462993191838
25,"Paraíba",2511707,2011,2503,"Agreste Paraibano",250316,"Guarabira","Pilõezinhos",1788842.62,-35.2673992132231,-7.27915276258562,0.00840082693498049
25,"Paraíba",2511806,2011,2503,"Agreste Paraibano",250316,"Guarabira","Pirpirituba",2814896.11,-35.6085230075733,-6.88346962594219,0.00528776338417709
25,"Paraíba",2511905,2011,2504,"Mata Paraibana",250423,"Litoral Sul","Pitimbu",5120638.76,-35.5497897418499,-6.84784811621117,0.00360033587159481
25,"Paraíba",2512002,2011,2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Pocinhos",5196983.64,-35.4962565298272,-6.79072912521639,0.00648677038578728
25,"Paraíba",2512101,2011,2501,"Sertão Paraibano",250103,"Sousa","Pombal",6818299.48,-34.8419474544962,-7.43062030518895,0.0111887097655974
25,"Paraíba",2512036,2011,2501,"Sertão Paraibano",250102,"Cajazeiras","Poço Dantas",2458003.15,-36.0931591161475,-7.06163692104318,0.0515776392489251
25,"Paraíba",2512077,2011,2501,"Sertão Paraibano",250102,"Cajazeiras","Poço de José de Moura",2665772.06,-38.5229121748254,-6.39110369982293,0.00796619273488373
25,"Paraíba",2512200,2011,2502,"Borborema",250210,"Cariri Ocidental","Prata",1396521.39,-38.5003797026997,-6.5919297707504,0.00821781447121431
25,"Paraíba",2512309,2011,2501,"Sertão Paraibano",250107,"Serra do Teixeira","Princesa Isabel",5281163.16,-37.851523130587,-6.77338704093936,0.0727475042636607
25,"Paraíba",2512408,2011,2503,"Agreste Paraibano",250317,"Campina Grande","Puxinanã",3463732.79,-37.0890274918203,-7.69718096622211,0.015771477919057
25,"Paraíba",2512507,2011,2503,"Agreste Paraibano",250317,"Campina Grande","Queimadas",12858221.71,-38.0049127046064,-7.65382392664496,0.0302508588831848
25,"Paraíba",2512606,2011,2501,"Sertão Paraibano",250104,"Patos","Quixabá",1079262.55,-35.9631030332451,-7.1489291859227,0.00603879614829399
25,"Paraíba",2512705,2011,2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Remígio",6506448.7,-35.914320139751,-7.39957910490492,0.032922752715013
25,"Paraíba",2512788,2011,2502,"Borborema",250211,"Cariri Oriental","Riacho de Santo Antônio",1038293.21,-37.1401561828655,-7.04175259082506,0.0128627864401341
