"ANO","NOME_MUNICIPIO","NOME_MESO","NOME_MICRO","MEDIA_ESTADO","MEDIA_MICRO","indicador"
2010,"Santa Cecília","Agreste Paraibano","Umbuzeiro",31.310691566927,39.3174850863823,"INDICADOR_329"
2010,"Santa Cruz","Sertão Paraibano","Sousa",31.310691566927,29.9586659522028,"INDICADOR_329"
2010,"Santa Helena","Sertão Paraibano","Cajazeiras",31.310691566927,26.5941025844904,"INDICADOR_329"
2010,"Santa Inês","Sertão Paraibano","Itaporanga",31.310691566927,35.0809769302104,"INDICADOR_329"
2010,"Santa Luzia","Borborema","Seridó Ocidental Paraibano",31.310691566927,20.3569684541068,"INDICADOR_329"
2010,"Santa Rita","Mata Paraibana","João Pessoa",31.310691566927,21.2952221118167,"INDICADOR_329"
2010,"Santa Teresinha","Sertão Paraibano","Patos",31.310691566927,29.6557677747223,"INDICADOR_329"
2010,"Santana de Mangueira","Sertão Paraibano","Itaporanga",31.310691566927,39.6303777593503,"INDICADOR_329"
2010,"Santana dos Garrotes","Sertão Paraibano","Piancó",31.310691566927,36.2960683422055,"INDICADOR_329"
2010,"Santarém","Sertão Paraibano","Cajazeiras",31.310691566927,34.6634157801762,"INDICADOR_329"
2010,"Santo André","Borborema","Cariri Oriental",31.310691566927,27.6064141778649,"INDICADOR_329"
2010,"São Bentinho","Sertão Paraibano","Sousa",31.310691566927,33.3615134982696,"INDICADOR_329"
2010,"São Bento","Sertão Paraibano","Catolé do Rocha",31.310691566927,34.181400397135,"INDICADOR_329"
2010,"São Domingos","Sertão Paraibano","Sousa",31.310691566927,39.3523316939043,"INDICADOR_329"
2010,"São Domingos do Cariri","Borborema","Cariri Oriental",31.310691566927,23.5052917232538,"INDICADOR_329"
2010,"São Francisco","Sertão Paraibano","Sousa",31.310691566927,33.112463436388,"INDICADOR_329"
2010,"São João do Cariri","Borborema","Cariri Oriental",31.310691566927,21.2896247311367,"INDICADOR_329"
2010,"São João do Rio do Peixe","Sertão Paraibano","Cajazeiras",31.310691566927,28.0945780323397,"INDICADOR_329"
2010,"São João do Tigre","Borborema","Cariri Ocidental",31.310691566927,36.222941957027,"INDICADOR_329"
2010,"São José da Lagoa Tapada","Sertão Paraibano","Sousa",31.310691566927,45.4598077833839,"INDICADOR_329"
2010,"São José de Caiana","Sertão Paraibano","Itaporanga",31.310691566927,34.9600992352115,"INDICADOR_329"
2010,"São José de Espinharas","Sertão Paraibano","Patos",31.310691566927,33.8347257002607,"INDICADOR_329"
2010,"São José de Piranhas","Sertão Paraibano","Cajazeiras",31.310691566927,25.5085382272736,"INDICADOR_329"
2010,"São José de Princesa","Sertão Paraibano","Serra do Teixeira",31.310691566927,32.6332449155189,"INDICADOR_329"
2010,"São José do Bonfim","Sertão Paraibano","Patos",31.310691566927,25.7594058071314,"INDICADOR_329"
2010,"São José do Brejo do Cruz","Sertão Paraibano","Catolé do Rocha",31.310691566927,29.4183913875016,"INDICADOR_329"
2010,"São José do Sabugi","Borborema","Seridó Ocidental Paraibano",31.310691566927,28.9434004385831,"INDICADOR_329"
2010,"São José dos Cordeiros","Borborema","Cariri Ocidental",31.310691566927,24.6154093917498,"INDICADOR_329"
2010,"São José dos Ramos","Mata Paraibana","Sapé",31.310691566927,39.0598996064828,"INDICADOR_329"
2010,"São Mamede","Borborema","Seridó Ocidental Paraibano",31.310691566927,26.1533423609871,"INDICADOR_329"
2010,"São Miguel de Taipu","Mata Paraibana","Sapé",31.310691566927,41.3910267193616,"INDICADOR_329"
2010,"São Sebastião de Lagoa de Roça","Agreste Paraibano","Esperança",31.310691566927,27.2545593907228,"INDICADOR_329"
2010,"São Sebastião do Umbuzeiro","Borborema","Cariri Ocidental",31.310691566927,28.6388524834827,"INDICADOR_329"
2010,"Sapé","Mata Paraibana","Sapé",31.310691566927,32.194429089264,"INDICADOR_329"
2010,"Seridó","Borborema","Seridó Oriental Paraibano",31.310691566927,27.4873703194258,"INDICADOR_329"
2010,"Serra Branca","Borborema","Cariri Ocidental",31.310691566927,20.90202214045,"INDICADOR_329"
2010,"Serra da Raiz","Agreste Paraibano","Guarabira",31.310691566927,35.2697278388616,"INDICADOR_329"
2010,"Serra Grande","Sertão Paraibano","Itaporanga",31.310691566927,30.6618179558828,"INDICADOR_329"
2010,"Serra Redonda","Agreste Paraibano","Campina Grande",31.310691566927,33.7067935502432,"INDICADOR_329"
2010,"Serraria","Agreste Paraibano","Brejo Paraibano",31.310691566927,43.8385528572846,"INDICADOR_329"
2010,"Sertãozinho","Agreste Paraibano","Guarabira",31.310691566927,29.5227143822789,"INDICADOR_329"
2010,"Sobrado","Mata Paraibana","Sapé",31.310691566927,36.8267042231757,"INDICADOR_329"
2010,"Solânea","Agreste Paraibano","Curimataú Oriental",31.310691566927,31.00201270997,"INDICADOR_329"
2010,"Soledade","Agreste Paraibano","Curimataú Ocidental",31.310691566927,21.1462616466345,"INDICADOR_329"
2010,"Sossêgo","Agreste Paraibano","Curimataú Ocidental",31.310691566927,30.175523289634,"INDICADOR_329"
2010,"Sousa","Sertão Paraibano","Sousa",31.310691566927,24.0307780268375,"INDICADOR_329"
2010,"Sumé","Borborema","Cariri Ocidental",31.310691566927,24.8368111915202,"INDICADOR_329"
2010,"Tacima","Agreste Paraibano","Curimataú Oriental",31.310691566927,34.258150140817,"INDICADOR_329"
2010,"Taperoá","Borborema","Cariri Ocidental",31.310691566927,28.6920160989623,"INDICADOR_329"
2010,"Tavares","Sertão Paraibano","Serra do Teixeira",31.310691566927,33.1051790010455,"INDICADOR_329"
2010,"Teixeira","Sertão Paraibano","Serra do Teixeira",31.310691566927,25.5562423349116,"INDICADOR_329"
2010,"Tenório","Borborema","Seridó Oriental Paraibano",31.310691566927,31.0242985423718,"INDICADOR_329"
2010,"Triunfo","Sertão Paraibano","Cajazeiras",31.310691566927,30.8987988133155,"INDICADOR_329"
2010,"Uiraúna","Sertão Paraibano","Cajazeiras",31.310691566927,28.6237708260142,"INDICADOR_329"
2010,"Umbuzeiro","Agreste Paraibano","Umbuzeiro",31.310691566927,38.5812062472137,"INDICADOR_329"
2010,"Várzea","Borborema","Seridó Ocidental Paraibano",31.310691566927,15.606795297089,"INDICADOR_329"
2010,"Vieirópolis","Sertão Paraibano","Sousa",31.310691566927,40.2994463116849,"INDICADOR_329"
2010,"Vista Serrana","Sertão Paraibano","Sousa",31.310691566927,28.9328758471106,"INDICADOR_329"
2010,"Zabelê","Borborema","Cariri Ocidental",31.310691566927,25.4978349864474,"INDICADOR_329"
2007,"Água Branca","Sertão Paraibano","Serra do Teixeira",68.0286104055017,73.4170809476668,"INDICADOR_62"
2007,"Aguiar","Sertão Paraibano","Piancó",68.0286104055017,70.2356995770784,"INDICADOR_62"
2007,"Alagoa Grande","Agreste Paraibano","Brejo Paraibano",68.0286104055017,67.3083726274249,"INDICADOR_62"
2007,"Alagoa Nova","Agreste Paraibano","Brejo Paraibano",68.0286104055017,75.6730246397883,"INDICADOR_62"
2007,"Alagoinha","Agreste Paraibano","Guarabira",68.0286104055017,68.8808825944779,"INDICADOR_62"
2007,"Alcantil","Borborema","Cariri Oriental",68.0286104055017,62.1797785782003,"INDICADOR_62"
2007,"Algodão de Jandaíra","Agreste Paraibano","Curimataú Ocidental",68.0286104055017,71.7186904160969,"INDICADOR_62"
2007,"Alhandra","Mata Paraibana","Litoral Sul",68.0286104055017,54.4314599971759,"INDICADOR_62"
2007,"Amparo","Borborema","Cariri Ocidental",68.0286104055017,71.7805726668751,"INDICADOR_62"
2007,"Aparecida","Sertão Paraibano","Sousa",68.0286104055017,65.0237594096242,"INDICADOR_62"
2007,"Araçagi","Agreste Paraibano","Guarabira",68.0286104055017,78.6637154635364,"INDICADOR_62"
2007,"Arara","Agreste Paraibano","Curimataú Ocidental",68.0286104055017,72.5189150627509,"INDICADOR_62"
2007,"Araruna","Agreste Paraibano","Curimataú Oriental",68.0286104055017,73.3929574415292,"INDICADOR_62"
2007,"Areia","Agreste Paraibano","Brejo Paraibano",68.0286104055017,72.8707600683984,"INDICADOR_62"
2007,"Areia de Baraúnas","Sertão Paraibano","Patos",68.0286104055017,51.6416332877023,"INDICADOR_62"
2007,"Areial","Agreste Paraibano","Esperança",68.0286104055017,68.7526258491082,"INDICADOR_62"
2007,"Aroeiras","Agreste Paraibano","Umbuzeiro",68.0286104055017,72.184455139908,"INDICADOR_62"
2007,"Assunção","Borborema","Cariri Ocidental",68.0286104055017,63.3303702031627,"INDICADOR_62"
