"cidade","Vizinho1","Vizinho2","Vizinho3","Vizinho4","Vizinho5","Vizinho6","Vizinho7","Vizinho8","Vizinho9","Vizinho10"
"São Bento","Cacimba de Dentro","Tavares","Picuí","Araçagi","Barra de Santa Rosa","Mataraca","Marizópolis","São José de Piranhas","Brejo do Cruz","Taperoá"
"São Domingos","Santa Inês","Assunção","Areia de Baraúnas","São José do Sabugi","Cabaceiras","São Domingos do Cariri","Riacho dos Cavalos","Boa Vista","Serra da Raiz","Santo André"
"São Domingos do Cariri","Santa Inês","São Domingos","Areia de Baraúnas","Monte Horebe","Assunção","Cabaceiras","São José do Sabugi","Riacho dos Cavalos","Boa Vista","Baraúna"
"São Francisco","Tenório","Algodão de Jandaíra","São João do Tigre","Frei Martinho","Catingueira","Camalaú","Malta","Igaracy","Curral Velho","Sossêgo"
"São João do Cariri","Pedra Branca","Jericó","Mãe d'Água","São José da Lagoa Tapada","Ibiara","Bonito de Santa Fé","Serra Redonda","Conde","Lagoa Seca","Logradouro"
"São João do Rio do Peixe","Teixeira","Araruna","Cuité","Puxinanã","Uiraúna","Sumé","Itaporanga","Lastro","Alagoa Nova","Salgadinho"
"São João do Tigre","Algodão de Jandaíra","São Francisco","Tenório","Camalaú","Igaracy","Frei Martinho","Curral de Cima","Catingueira","Malta","Capim"
"São José da Lagoa Tapada","Ibiara","Bonito de Santa Fé","Serra Redonda","Mãe d'Água","Logradouro","Belém do Brejo do Cruz","Água Branca","Juru","Jericó","Santarém"
"São José de Caiana","Damião","Pirpirituba","Aparecida","Nova Olinda","Maturéia","Bernardino Batista","Borborema","Gurjão","Santana dos Garrotes","Vista Serrana"
"São José de Espinharas","São Sebastião de Lagoa de Roça","Condado","Dona Inês","Natuba","Olivedos","Arara","Cachoeira dos Índios","São Mamede","Rio Tinto","Serraria"
"São José de Piranhas","Barra de Santa Rosa","Taperoá","Desterro","Picuí","Coremas","Poço Dantas","Cacimba de Dentro","Belém","Riachão","Marizópolis"
"São José de Princesa","Passagem","São José do Brejo do Cruz","Alcantil","Vieirópolis","Santo André","Serra da Raiz","Sossêgo","Malta","São José do Sabugi","Catingueira"
"São José do Bonfim","Serra Grande","Riacho de Santo Antônio","Carrapateira","Brejo dos Santos","São José dos Ramos","Coxixola","Sertãozinho","Nova Palmeira","Riachão do Poço","Livramento"
"São José do Brejo do Cruz","São José de Princesa","Passagem","Vieirópolis","Alcantil","Sossêgo","Santo André","Malta","Serra da Raiz","Catingueira","São José do Sabugi"
"São José do Sabugi","Serra da Raiz","Areia de Baraúnas","São Domingos","Santo André","Assunção","Santa Inês","Cabaceiras","Diamante","São Domingos do Cariri","Alcantil"
"São José dos Cordeiros","Várzea","Congo","Duas Estradas","Cajazeirinhas","Olho d'Água","Areial","Gado Bravo","Matinhas","Caturité","Santana de Mangueira"
"São José dos Ramos","Brejo dos Santos","Livramento","Sertãozinho","Riachão do Poço","Serra Grande","São José do Bonfim","Carrapateira","Riacho de Santo Antônio","Riachão do Bacamarte","Poço de José de Moura"
"São Mamede","Itatuba","Lagoa","Serraria","Cachoeira dos Índios","Santa Helena","Arara","Olivedos","Aguiar","Santarém","Juru"
"São Miguel de Taipu","Sobrado","Santana de Mangueira","Caturité","Baraúna","Santa Cruz","Barra de Santana","Areial","Matinhas","São Sebastião do Umbuzeiro","Monte Horebe"
"São Sebastião de Lagoa de Roça","Condado","Dona Inês","Natuba","São José de Espinharas","Arara","Olivedos","Cachoeira dos Índios","São Mamede","Rio Tinto","Itatuba"
"São Sebastião do Umbuzeiro","Santa Cruz","Caturité","Matinhas","Santana de Mangueira","Monte Horebe","Baraúna","Sobrado","São Miguel de Taipu","São Domingos do Cariri","Riacho dos Cavalos"
"Seridó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Serra Branca","Junco do Seridó","Brejo do Cruz","Mataraca","Araçagi","Tavares","Marizópolis","Riachão","Coremas","Cacimba de Dentro","Jacaraú"
"Serra da Raiz","Santo André","São José do Sabugi","Areia de Baraúnas","São Domingos","Assunção","Santa Inês","Alcantil","Passagem","São José de Princesa","Diamante"
"Serra Grande","São José do Bonfim","Riacho de Santo Antônio","Carrapateira","Brejo dos Santos","São José dos Ramos","Sertãozinho","Coxixola","Riachão do Poço","Livramento","Nova Palmeira"
"Serra Redonda","Bonito de Santa Fé","Logradouro","Ibiara","Belém do Brejo do Cruz","São José da Lagoa Tapada","Juru","Água Branca","Santarém","Aguiar","Santa Helena"
"Serraria","Lagoa","Itatuba","São Mamede","Santa Helena","Aguiar","Santarém","Cachoeira dos Índios","Olivedos","Juru","Arara"
"Sertãozinho","Riachão do Poço","São José dos Ramos","Brejo dos Santos","Livramento","Riachão do Bacamarte","Serra Grande","Carrapateira","São José do Bonfim","Riacho de Santo Antônio","Poço de José de Moura"
"Sobrado","São Miguel de Taipu","Baraúna","Santana de Mangueira","Santa Cruz","Caturité","Barra de Santana","São Sebastião do Umbuzeiro","Monte Horebe","Matinhas","Riacho dos Cavalos"
"Solânea","Boqueirão","Alagoa Grande",NA,NA,NA,NA,NA,NA,NA,NA
"Soledade","Tacima","Alhandra","Caiçara","Alagoinha","Fagundes","Pitimbu","Itapororoca","Nazarezinho","Montadas","Pilões"
"Sossêgo","Malta","Catingueira","Vieirópolis","Algodão de Jandaíra","São Francisco","Tenório","São José do Brejo do Cruz","São João do Tigre","Curral de Cima","São José de Princesa"
"Sousa","Santa Teresinha",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sumé","Uiraúna","Itaporanga","Lastro","Puxinanã","Salgadinho","Cuité","Pedro Régis","Teixeira","São João do Rio do Peixe","Araruna"
"Tacima","Soledade","Alhandra","Fagundes","Nazarezinho","Caiçara","Alagoinha","Pitimbu","Itapororoca","Montadas","Pilões"
"Taperoá","Coremas","São José de Piranhas","Desterro","Riachão","Barra de Santa Rosa","Poço Dantas","Cacimba de Dentro","Picuí","Marizópolis","Belém"
"Tavares","Mataraca","Brejo do Cruz","Araçagi","Marizópolis","Serra Branca","Junco do Seridó","Cacimba de Dentro","São Bento","Coremas","Taperoá"
"Teixeira","São João do Rio do Peixe","Puxinanã","Araruna","Cuité","Sumé","Uiraúna","Lastro","Itaporanga","Salgadinho","Pedro Régis"
"Tenório","São Francisco","Algodão de Jandaíra","São João do Tigre","Frei Martinho","Catingueira","Camalaú","Malta","Igaracy","Curral Velho","Sossêgo"
"Uiraúna","Itaporanga","Sumé","Cuité","Puxinanã","Pedro Régis","Lastro","Salgadinho","Alagoa Nova","Teixeira","Araruna"
"Umbuzeiro","Belém","Poço Dantas","Desterro","São José de Piranhas","Picuí","Barra de Santa Rosa","Gurinhém","Taperoá","Coremas","Riachão"
"Várzea","São José dos Cordeiros","Congo","Duas Estradas","Cajazeirinhas","Olho d'Água","Areial","Gado Bravo","Matinhas","Caturité","Santana de Mangueira"
"Vieirópolis","Sossêgo","Malta","Catingueira","São José do Brejo do Cruz","São José de Princesa","Passagem","Curral de Cima","Alcantil","Casserengue","Algodão de Jandaíra"
"Vista Serrana","Gurjão","São Bentinho","Parari","Cacimba de Areia","Nova Olinda","Bernardino Batista","Cuitegi","Zabelê","São José de Caiana","Ouro Velho"
"Zabelê","Ouro Velho","Emas","Curral Velho","Cacimba de Areia","Caraúbas","Parari","São Bentinho","Frei Martinho","Camalaú","Cuitegi"
