"COD_UF","NOME_UF","COD_MUNICIPIO","ANO","COD_MESO","NOME_MESO","COD_MICRO","NOME_MICRO","NOME_MUNICIPIO","numero.matriculas","IFDM","FPM"
25,"Paraíba",2511608,2011,2503,"Agreste Paraibano",250315,"Brejo Paraibano","Pilões",1671,0.571531714958936,0.00361652907583439
25,"Paraíba",2511707,2011,2503,"Agreste Paraibano",250316,"Guarabira","Pilõezinhos",960,0.539287611461255,0.00271239692055608
25,"Paraíba",2511806,2011,2503,"Agreste Paraibano",250316,"Guarabira","Pirpirituba",1311,0.56039037867679,0.00271239692055608
25,"Paraíba",2511905,2011,2504,"Mata Paraibana",250423,"Litoral Sul","Pitimbu",3134,0.590490337079557,0.00361652907583439
25,"Paraíba",2512002,2011,2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Pocinhos",3775,0.582793300132098,0.00542479365164502
25,"Paraíba",2512036,2011,2501,"Sertão Paraibano",250102,"Cajazeiras","Poço Dantas",1487,0.618202716190922,0.00542479365164502
25,"Paraíba",2512077,2011,2501,"Sertão Paraibano",250102,"Cajazeiras","Poço de José de Moura",1500,0.533663711097475,0.00271239692055608
25,"Paraíba",2512101,2011,2501,"Sertão Paraibano",250103,"Sousa","Pombal",3399,0.593903696621085,0.00271239692055608
25,"Paraíba",2512200,2011,2502,"Borborema",250210,"Cariri Ocidental","Prata",625,0.653887411516982,0.00723305800009508
25,"Paraíba",2512309,2011,2501,"Sertão Paraibano",250107,"Serra do Teixeira","Princesa Isabel",2250,0.607197694256448,0.00271239692055608
25,"Paraíba",2512408,2011,2503,"Agreste Paraibano",250317,"Campina Grande","Puxinanã",1836,0.607378773598607,0.00542479365164502
25,"Paraíba",2512507,2011,2503,"Agreste Paraibano",250317,"Campina Grande","Queimadas",7595,0.567681808584992,0.00361652907583439
25,"Paraíba",2512606,2011,2501,"Sertão Paraibano",250104,"Patos","Quixabá",446,0.600108141185487,0.00813719023116025
25,"Paraíba",2512705,2011,2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Remígio",3049,0.622585663189401,0.00271239692055608
25,"Paraíba",2512747,2011,2503,"Agreste Paraibano",250313,"Curimataú Oriental","Riachão",776,0.59310005727413,0.00542479365164502
25,"Paraíba",2512754,2011,2503,"Agreste Paraibano",250318,"Itabaiana","Riachão do Bacamarte",929,0.531931779666374,0.00271239692055608
25,"Paraíba",2512762,2011,2504,"Mata Paraibana",250421,"Sapé","Riachão do Poço",992,0.528345095444331,0.00271239692055608
25,"Paraíba",2512788,2011,2502,"Borborema",250211,"Cariri Oriental","Riacho de Santo Antônio",513,0.520979077272302,0.00271239692055608
25,"Paraíba",2512804,2011,2501,"Sertão Paraibano",250101,"Catolé do Rocha","Riacho dos Cavalos",1185,0.615325254319978,0.00271239692055608
25,"Paraíba",2512903,2011,2504,"Mata Paraibana",250420,"Litoral Norte","Rio Tinto",4126,0.541276897629111,0.00271239692055608
25,"Paraíba",2513000,2011,2502,"Borborema",250208,"Seridó Ocidental Paraibano","Salgadinho",783,0.589238015599791,0.00542479365164502
25,"Paraíba",2513109,2011,2503,"Agreste Paraibano",250318,"Itabaiana","Salgado de São Félix",2544,0.537302392956799,0.00271239692055608
25,"Paraíba",2513158,2011,2503,"Agreste Paraibano",250319,"Umbuzeiro","Santa Cecília",1708,0.566216211322458,0.00361652907583439
25,"Paraíba",2513208,2011,2501,"Sertão Paraibano",250103,"Sousa","Santa Cruz",764,0.626181987334154,0.00271239692055608
25,"Paraíba",2513307,2011,2501,"Sertão Paraibano",250102,"Cajazeiras","Santa Helena",1137,0.559407536074998,0.00271239692055608
25,"Paraíba",2513356,2011,2501,"Sertão Paraibano",250106,"Itaporanga","Santa Inês",648,0.613106863732351,0.00271239692055608
25,"Paraíba",2513406,2011,2502,"Borborema",250208,"Seridó Ocidental Paraibano","Santa Luzia",1583,0.459628274416086,0.00271239692055608
25,"Paraíba",2513703,2011,2504,"Mata Paraibana",250422,"João Pessoa","Santa Rita",18099,0.669165717525321,0.00452066126900614
25,"Paraíba",2513802,2011,2501,"Sertão Paraibano",250104,"Patos","Santa Teresinha",849,0.62662197226088,0.0153702480796816
25,"Paraíba",2513505,2011,2501,"Sertão Paraibano",250106,"Itaporanga","Santana de Mangueira",1142,0.636129644875231,0.00271239692055608
25,"Paraíba",2513604,2011,2501,"Sertão Paraibano",250105,"Piancó","Santana dos Garrotes",1092,0.54767855513805,0.00271239692055608
25,"Paraíba",2513653,2011,2501,"Sertão Paraibano",250102,"Cajazeiras","Santarém",1097,0.562165733002875,0.00271239692055608
